Season,GameDate,Opponent,SiteCode,OppCode,GameID,Notes
2009,2009-02-10,Owensboro,A,OWENSB,LWBB2009-20090210-A-OWENSB,
2009,2009-02-14,Muhlenberg South,A,MUHLEN,LWBB2009-20090214-A-MUHLEN,
2009,2009-02-16,North Hardin,A,NORTHH,LWBB2009-20090216-A-NORTHH,
2009,2009-02-17,Oldham County,A,OLDHAM,LWBB2009-20090217-A-OLDHAM,
2009,2009-02-20,Central Hardin,H,CENTRA,LWBB2009-20090220-H-CENTRA,
2009,2009-02-23,Hancock County,A,HANCOC,LWBB2009-20090223-A-HANCOC,11th District
2012,2012-02-20,Cloverport,H,CLOVER,LWBB2012-20120220-H-CLOVER,11th District
2012,2012-02-23,Hancock County,H,HANCOC,LWBB2012-20120223-H-HANCOC,11th District Championship
2012,2012-02-28,Muhlenberg County,N,MUHLEN,LWBB2012-20120228-N-MUHLEN,3rd Region (Owensboro Sportscenter)
2010,,ALL GAMES,U,XXXXXX,LWBB2010-SEASON-MISSING,No box scores available for this season
2011,,ALL GAMES,U,XXXXXX,LWBB2011-SEASON-MISSING,No box scores available for this season
2013,2013-02-15,Central Hardin,H,CENTRA,LWBB2013-20130215-H-CENTRA,
2013,2013-02-18,Cloverport,N,CLOVER,LWBB2013-20130218-N-CLOVER,11th District
2013,2013-02-21,Hancock County,A,HANCOC,LWBB2013-20130221-A-HANCOC,11th District Championship
2013,2013-02-28,Owensboro,N,OWENSB,LWBB2013-20130228-N-OWENSB,3rd Region
2013,2013-03-02,Ohio County,N,OHIOCO,LWBB2013-20130302-N-OHIOCO,3rd Region
2013,2013-03-04,Owensboro Catholic,N,OWENSB,LWBB2013-20130304-N-OWENSB,3rd Region Championship
2014,2014-03-13,Anderson County,N,ANDERS,LWBB2014-20140313-N-ANDERS,Houchens Industries/KHSAA Girls Sweet Sixteen Basketball Tournament
2016,2016-02-25,Breckinridge County,H,BRECKI,LWBB2016-20160225-H-BRECKI,11th District Championship
2016,2016-02-29,Grayson County,N,GRAYSO,LWBB2016-20160229-N-GRAYSO,3rd Region (Owensboro Sportscenter)
2017,2017-02-23,Breckinridge County,N,BRECKI,GWBB2017-20170223-N-BRECKI, 11th District championship
2017,2017-02-28,Apollo,N,APOLLO,GWBB2017-20170228-N-APOLLO,3rd Region
